strategy,prob_min,prob_max,gap_min,n_races,n_tickets,hit_rate,roi
top2_fix_nagashi,0.3,0.4,0.0,1335,4005,47.6,74.9
axis_nagashi,0.3,0.5,0.0,4196,12588,51.9,74.9
axis_nagashi,0.3,0.6,0.1,5140,15420,52.3,74.9
axis_nagashi,0.4,0.6,0.0,4838,14514,52.9,74.8
p3_box,0.3,0.5,0.0,4196,4196,25.2,74.8
weak1_box,0.3,0.7,0.1,662,2648,19.2,74.7
honmei_1pt,0.4,0.7,0.1,5231,5231,23.6,74.7
honmei_1pt,0.4,0.6,0.0,4838,4838,24.1,74.5
honmei_1pt,0.3,0.6,0.0,6173,6173,23.7,74.5
top2_fix_nagashi,0.3,0.7,0.3,2185,6555,48.2,74.5
p3_box,0.5,0.7,0.3,1982,1982,22.4,74.5
honmei_1pt,0.3,0.4,0.0,1335,1335,22.0,74.5
top2_fix_nagashi,0.4,0.7,0.3,2185,6555,48.2,74.5
top2_fix_nagashi,0.3,0.7,0.1,5793,17379,50.9,74.4
honmei_1pt,0.3,0.7,0.1,5793,5793,23.2,74.4
top2_fix_nagashi,0.3,0.7,0.0,6826,20478,51.0,74.3
top2_fix_nagashi,0.4,0.7,0.0,5491,16473,51.9,74.2
top2_fix_nagashi,0.3,0.7,0.2,4059,12177,49.9,74.2
top2_fix_nagashi,0.4,0.7,0.2,4033,12099,50.0,74.2
honmei_1pt,0.4,0.6,0.1,4578,4578,23.9,74.1
top2_fix_nagashi,0.4,0.7,0.1,5231,15693,51.6,74.1
p3_box,0.4,0.6,0.3,1533,1533,21.5,74.0
p3_box,0.3,0.6,0.3,1533,1533,21.5,74.0
axis_nagashi,0.4,0.5,0.1,2606,7818,53.6,74.0
honmei_1pt,0.3,0.5,0.0,4196,4196,23.9,73.9
top2_fix_nagashi,0.5,0.6,0.2,1882,5646,50.8,73.9
honmei_1pt,0.3,0.6,0.1,5140,5140,23.5,73.8
top2_fix_nagashi,0.5,0.6,0.3,1330,3990,48.3,73.8
top2_fix_nagashi,0.3,0.5,0.0,4196,12588,51.0,73.8
top2_fix_nagashi,0.3,0.6,0.0,6173,18519,51.0,73.7
top2_fix_nagashi,0.3,0.5,0.1,3168,9504,50.8,73.6
top2_fix_nagashi,0.3,0.6,0.1,5140,15420,50.9,73.6
top2_fix_nagashi,0.5,0.6,0.1,1972,5916,51.1,73.6
honmei_1pt,0.4,0.5,0.0,2861,2861,24.8,73.5
top2_fix_nagashi,0.5,0.6,0.0,1977,5931,51.0,73.5
axis_nagashi,0.3,0.5,0.1,3168,9504,52.3,73.5
top2_fix_nagashi,0.4,0.6,0.0,4838,14514,52.0,73.4
top2_fix_nagashi,0.4,0.6,0.1,4578,13734,51.7,73.3
honmei_1pt,0.4,0.6,0.3,1533,1533,21.1,73.3
honmei_1pt,0.3,0.6,0.3,1533,1533,21.1,73.3
top2_fix_nagashi,0.4,0.5,0.0,2861,8583,52.7,73.3
honmei_1pt,0.3,0.5,0.2,1524,1524,22.3,73.2
