race_date,stadium_id,race_number,top_prob,prob_gap,has_exhibition,boats_json,actual_trio,payout_trio
2025-08-15,24,2,0.759311219517572,0.6215006583148367,0,"{""bn"": [1, 2, 3, 4, 5, 6], ""p1"": [0.7593, 0.0177, 0.0559, 0.1378, 0.0135, 0.0158], ""p3"": [0.6937, 0.4025, 0.3311, 0.6388, 0.3018, 0.6608], ""p1L"": [0.7124, 0.0387, 0.0875, 0.1145, 0.0254, 0.0215], ""p3L"": [0.7013, 0.3769, 0.3962, 0.5667, 0.2271, 0.7509]}","[1, 3, 6]",390.0
2025-08-15,24,3,0.571590004551686,0.2841491160756017,0,"{""bn"": [6, 1, 2, 3, 4, 5], ""p1"": [0.0204, 0.2874, 0.0342, 0.5716, 0.0851, 0.0013], ""p3"": [0.1834, 0.8845, 0.433, 0.9526, 0.558, 0.0342], ""p1L"": [0.0221, 0.3198, 0.0287, 0.4837, 0.1444, 0.0013], ""p3L"": [0.376, 0.8643, 0.4587, 0.9635, 0.6245, 0.044]}","[2, 3, 6]",1680.0
2025-08-15,24,4,0.7281812291862487,0.6107319783504279,0,"{""bn"": [3, 4, 5, 6, 2, 1], ""p1"": [0.1174, 0.0285, 0.0857, 0.0059, 0.0343, 0.7282], ""p3"": [0.5239, 0.4365, 0.4191, 0.0794, 0.7056, 0.9557], ""p1L"": [0.1128, 0.0389, 0.0892, 0.0075, 0.0149, 0.7366], ""p3L"": [0.592, 0.3821, 0.524, 0.0638, 0.7628, 0.9427]}","[1, 3, 4]",430.0
2025-08-15,24,5,0.5462438521281179,0.25275688453977424,0,"{""bn"": [2, 1, 3, 5, 6, 4], ""p1"": [0.1025, 0.5462, 0.2935, 0.0496, 0.0027, 0.0054], ""p3"": [0.4966, 0.9891, 0.8406, 0.3058, 0.2286, 0.3679], ""p1L"": [0.114, 0.4964, 0.3002, 0.0767, 0.0023, 0.0103], ""p3L"": [0.523, 0.9915, 0.8181, 0.2589, 0.3094, 0.3804]}","[1, 3, 6]",850.0
2025-08-15,24,6,0.7714834853344713,0.6125479733811545,0,"{""bn"": [5, 1, 2, 3, 4, 6], ""p1"": [0.0045, 0.7715, 0.0247, 0.1589, 0.0294, 0.011], ""p3"": [0.1523, 0.9536, 0.7356, 0.8297, 0.3972, 0.4978], ""p1L"": [0.0126, 0.7715, 0.0426, 0.1116, 0.0544, 0.0072], ""p3L"": [0.1512, 0.9453, 0.7619, 0.7144, 0.3878, 0.2493]}","[1, 4, 5]",6950.0
2025-08-15,24,7,0.5099916843472123,0.12266085813290167,0,"{""bn"": [1, 3, 4, 5, 6, 2], ""p1"": [0.51, 0.0667, 0.0092, 0.0198, 0.0069, 0.3873], ""p3"": [0.9415, 0.3823, 0.2168, 0.2321, 0.1249, 0.8481], ""p1L"": [0.6063, 0.0772, 0.0138, 0.0322, 0.01, 0.2605], ""p3L"": [0.8761, 0.3971, 0.2775, 0.1805, 0.0816, 0.8837]}","[1, 2, 5]",400.0
2025-08-15,24,8,0.5035280542364298,0.03882685066643454,0,"{""bn"": [1, 2, 3, 4, 5, 6], ""p1"": [0.4647, 0.0087, 0.5035, 0.0079, 0.0083, 0.0069], ""p3"": [0.7728, 0.2354, 0.971, 0.2284, 0.0794, 0.1699], ""p1L"": [0.4279, 0.0175, 0.462, 0.0265, 0.056, 0.0101], ""p3L"": [0.846, 0.408, 0.9677, 0.2131, 0.1162, 0.1525]}","[1, 2, 3]",230.0
2025-08-15,24,9,0.5971833610888662,0.2646172973391167,0,"{""bn"": [1, 2, 3, 4, 5, 6], ""p1"": [0.5972, 0.048, 0.3326, 0.0004, 0.0071, 0.0148], ""p3"": [0.9759, 0.4, 0.8811, 0.0176, 0.3635, 0.3874], ""p1L"": [0.5952, 0.0446, 0.3326, 0.0009, 0.0173, 0.0094], ""p3L"": [0.9758, 0.4706, 0.8714, 0.0187, 0.3618, 0.2881]}","[1, 2, 3]",230.0
2025-08-15,24,10,0.46477583592634253,0.1583673275739761,0,"{""bn"": [1, 6, 5, 4, 3, 2], ""p1"": [0.4648, 0.0048, 0.0111, 0.0213, 0.3064, 0.1917], ""p3"": [0.9823, 0.0896, 0.2552, 0.4041, 0.5633, 0.4395], ""p1L"": [0.5864, 0.0025, 0.0218, 0.0673, 0.2137, 0.1083], ""p3L"": [0.9774, 0.1155, 0.3136, 0.4012, 0.567, 0.557]}","[1, 2, 4]",340.0
2025-08-15,24,11,0.8020113070632786,0.7240826171364481,0,"{""bn"": [1, 2, 3, 4, 5, 6], ""p1"": [0.802, 0.0721, 0.0344, 0.0779, 0.0109, 0.0027], ""p3"": [0.9665, 0.6263, 0.6033, 0.499, 0.3836, 0.3945], ""p1L"": [0.8088, 0.0394, 0.0316, 0.0905, 0.0259, 0.0038], ""p3L"": [0.9262, 0.645, 0.5182, 0.5598, 0.4109, 0.4453]}","[1, 4, 5]",2190.0
2025-08-15,24,12,0.4618641612988681,0.20240255284584413,0,"{""bn"": [2, 6, 3, 4, 5, 1], ""p1"": [0.4619, 0.0122, 0.0772, 0.0093, 0.2595, 0.18], ""p3"": [0.6207, 0.1294, 0.5403, 0.1814, 0.3073, 0.8767], ""p1L"": [0.4452, 0.0208, 0.0411, 0.0109, 0.1453, 0.3368], ""p3L"": [0.5451, 0.148, 0.495, 0.2628, 0.4245, 0.8444]}","[1, 2, 6]",760.0
2025-08-16,21,1,0.5764755141067398,0.26702011176582563,1,"{""bn"": [1, 2, 3, 4, 5, 6], ""p1"": [0.5765, 0.3095, 0.0255, 0.075, 0.0093, 0.0042], ""p3"": [0.991, 0.7524, 0.5047, 0.553, 0.3264, 0.3759], ""p1L"": [0.5803, 0.3132, 0.0426, 0.0568, 0.0051, 0.0021], ""p3L"": [0.9824, 0.7765, 0.5344, 0.5846, 0.3254, 0.1233]}","[2, 3, 4]",5890.0
